order_id,order_date,year_month,org_code,product_code,product_l1,order_amount,profit_amount,country,status
DO-001,2026-01-10,202601,ORG_1001,P-NET-01,Network,1000,200,CN,confirmed
DO-002,2026-01-18,202601,ORG_1001,P-IOT-01,IoT,500,80,CN,confirmed
DO-003,2026-02-05,202602,ORG_1001,P-NET-01,Network,800,150,CN,confirmed
DO-004,2026-02-22,202602,ORG_1001,P-CMP-01,Compute,2000,400,DE,confirmed
DO-005,2026-03-08,202603,ORG_1001,P-IOT-01,IoT,1200,250,CN,confirmed
DO-006,2026-03-17,202603,ORG_1001,P-CMP-01,Compute,1500,330,DE,confirmed
DO-007,2026-04-11,202604,ORG_1001,P-NET-01,Network,1100,210,CN,confirmed
DO-008,2026-04-27,202604,ORG_1001,P-IOT-01,IoT,700,120,CN,confirmed
DO-009,2026-05-09,202605,ORG_1001,P-CMP-01,Compute,1800,380,DE,confirmed
DO-010,2026-05-25,202605,ORG_1001,P-NET-01,Network,900,170,CN,confirmed
DO-011,2026-06-06,202606,ORG_1001,P-IOT-01,IoT,1000,200,CN,confirmed
DO-012,2026-06-21,202606,ORG_1001,P-CMP-01,Compute,2200,450,DE,confirmed
DO-013,2026-02-14,202602,ORG_2002,P-NET-01,Network,3000,500,US,confirmed
DO-014,2026-04-19,202604,ORG_2002,P-IOT-01,IoT,2500,420,US,confirmed
DO-015,2026-06-12,202606,ORG_2002,P-CMP-01,Compute,4000,700,US,confirmed
DO-016,2026-03-30,202603,ORG_1001,P-NET-01,Network,9999,999,CN,cancelled
