user,table,access_count
analyst_a,device_orders,48
analyst_a,product_master,12
analyst_a,sales_orders,1
analyst_b,device_orders,41
analyst_b,product_master,16
analyst_b,sales_orders,2
engineer_device,device_orders,37
engineer_device,product_master,25
engineer_device,deprecated_device_orders,2
pm_device,device_orders,31
pm_device,product_master,9
pm_device,deprecated_device_orders,1
analyst_c,sales_orders,52
analyst_c,product_master,11
pm_sales,sales_orders,44
pm_sales,product_master,8
engineer_sales,sales_orders,35
engineer_sales,product_master,14
legacy_user,deprecated_device_orders,28
legacy_user,device_orders,3

